"id","name","screen_name","description","followers_count","friends_count","listed_count","created_at","statuses_count","lang"
"3403873401","Comune di Milo","ComuneMilo","Città della Musica e del Vino Etna bianco superiore",106,291,3,"Wed Aug 05 08:49:12 +0000 2015",155,"it"
"3289887856","Comune Fiano Romano","ComunediFianoRM","Account ufficiale del Comune di Fiano Romano | Eventi, news e informazioni. Per segnalazioni utilizzare http://t.co/CX2whA3Plv",163,254,6,"Tue May 19 10:28:19 +0000 2015",117,"it"
"3288453496","Comune Monteriggioni","ComuneMonterig","Profilo ufficiale Comune di Monteriggioni",33,60,3,"Mon May 18 13:36:41 +0000 2015",32,"it"
"3212289759","ComuneTalamello","ComuneTalamello","",59,62,3,"Mon Apr 27 10:41:21 +0000 2015",23,"it"
"3091430237","Città di Varazze","varazze","Profilo ufficiale della città di Varazze 

Varazze is an Italian city in the province of Savona (Liguria)",294,335,5,"Fri Mar 13 19:46:48 +0000 2015",221,"it"
"3076919146","Comune di Giarre","ComuneGiarre","Il Comune di Giarre (CT) su Twitter. Profilo istituzionale dell'Ente.",116,164,5,"Sat Mar 07 09:54:31 +0000 2015",406,"it"
"3036203495","Comune San Miniato","ComuneSMiniato","Account ufficiale del Comune di San Miniato (Pisa)",418,531,10,"Sat Feb 14 07:52:40 +0000 2015",176,"it"
"3021559780","Comune Monterchi","comunemonterchi","#Twitter comune di #Monterchi per essere più vicini ai #cittadini, ascoltare e comunicare con loro velocemente con strumenti 2.0. #PA #INNOVAZIONE #SOCIAL",92,165,12,"Fri Feb 06 14:20:26 +0000 2015",360,"it"
"2989992155","Comune Montemurlo","ComuneMontemurl","Account Twitter ufficiale del Comune di Montemurlo",461,643,10,"Wed Jan 21 14:34:56 +0000 2015",695,"it"
"2949341001","Città di Castellanza","CCastellanza","",54,0,2,"Mon Dec 29 15:03:22 +0000 2014",190,"it"
"2931841961","Comune di Limbiate","ComuneLimbiate","Account ufficiale del Comune di Limbiate. Notizie e informazioni utili: linea diretta dal lunedì al venerdì, dalle 9 alle 14",173,44,5,"Fri Dec 19 10:57:09 +0000 2014",459,"it"
"2900586436","@ComuneLauria","ComuneLauria","Pagina ufficiale del Comune di Lauria",638,1539,9,"Mon Dec 01 13:24:35 +0000 2014",525,"it"
"2880738231","Comune di Pescaglia ","ComunePescaglia","",125,82,8,"Mon Nov 17 10:14:34 +0000 2014",137,"it"
"2876443993","Comune di Ameglia","ComunediAmeglia","La pagina ufficiale del Comune di Ameglia.
http://t.co/xgQCa9sL8S
Centralino 0187.60921",119,79,10,"Sat Oct 25 07:14:08 +0000 2014",489,"it"
"2872502326","Comune di Bergamo","ComunediBergamo","Profilo ufficiale del Comune di Bergamo - Official account of Bergamo Municipality",1402,208,42,"Tue Nov 11 16:21:22 +0000 2014",2875,"it"
"2865855359","Castel Focognano","CastelFocognano","Comune di Castel Focognano",178,309,7,"Fri Nov 07 16:23:14 +0000 2014",277,"it"
"2858593545","Comune di Barlassina","Barlassina_MB","Account ufficiale del Comune di Barlassina",97,53,6,"Mon Nov 03 10:32:28 +0000 2014",44,"it"
"2849600639","città di Sermoneta","Sermoneta_","Sulmo Vascolorum Oppidum in Latio
#sermoneta",162,76,4,"Wed Oct 29 10:43:48 +0000 2014",448,"it"
"2840974281","Comune di Cabiate","ComunediCabiate","",88,72,2,"Wed Oct 22 08:06:01 +0000 2014",279,"it"
"2839438449","Comune di Cantagallo","ComCantagallo","Profilo Ufficiale del Comune di Cantagallo",201,52,7,"Tue Oct 21 08:41:46 +0000 2014",393,"it"
"2834206761","Montelupo Fiorentino","ComuneMontelupo","Città della ceramica dove la villa medicea dell'Ambrogiana segna lo sbocco del fiume Pesa in Arno. A 30' da Firenze Siena Pisa. @museomontelupo @festaceramica",783,994,21,"Thu Oct 16 15:20:41 +0000 2014",1411,"it"
"2830228252","Comune di Piovera","ComunediPiovera","",89,24,4,"Tue Oct 14 19:40:50 +0000 2014",336,"it"
"2829272691","Città di Albisola ","AlbisolaSup","Canale istituzionale di informazione sui servizi e le attività del Comune di Albisola Superiore",181,42,7,"Tue Oct 14 10:49:50 +0000 2014",169,"it"
"2814162694","Comune di Camaiore","ComuneCamaiore","Profilo ufficiale del Comune di Camaiore. Informazioni e segnalazioni dal municipio. Policy: http://t.co/LiGMKCZfvG",387,142,12,"Tue Oct 07 14:12:40 +0000 2014",361,"it"
"2804182274","Comune di Formello","comuneformello","Cuore del Parco di Veio, tappa della via Francigena, polo dell'audiovisivo. Il Comune che #fa per te",52,70,3,"Thu Sep 11 19:15:03 +0000 2014",191,"it"
"2802030528","Comune San Roberto","SanRoberto_RC","Twitter ufficiale del Comune di San Roberto, Reggio Calabria - Italy",721,1983,4,"Wed Sep 10 16:17:20 +0000 2014",284,"it"
"2797732984","Comune di Alghero","comunealghero","Account ufficiale del Comune di Alghero",331,193,6,"Wed Oct 01 10:12:14 +0000 2014",199,"it"
"2786172795","Comune di Brenna","Comune_Brenna","Profilo ufficiale dell'Amministrazione Comunale di Brenna",85,19,4,"Fri Sep 26 19:40:14 +0000 2014",123,"it"
"2784000067","Comune di Volterra","ComuneVolterra","",607,625,11,"Mon Sep 01 11:34:18 +0000 2014",305,"it"
"2748851707","VisitMaiori","visit_maiori","",429,2000,8,"Wed Aug 20 11:51:54 +0000 2014",190,"it"
