"id","name","screen_name","description","followers_count","friends_count","listed_count","created_at","statuses_count","lang"
"3108872872","Museo Gualtieri","MuseoGualtieri","",33,146,2,"Mon Mar 23 22:44:41 +0000 2015",11,"it"
"2979935350","ArcheoMuseoMontelupo","MusArcMontelupo","A Montelupo Fiorentino, nella chiesa dell'antica parrocchia di S.Lucia, oggi c'è il Museo, immerso nel magnifico parco dell'Ambrogiana, (..continua la storia)",964,1408,41,"Thu Jan 15 15:19:21 +0000 2015",557,"it"
"2861092809","Pinacoteca Albertina","pinacotecalbert","Benvenuto sul profilo ufficiale della Pinacoteca Albertina. |  Welcome to the official Twitter Page of the Pinacoteca Albertina.",306,658,6,"Tue Nov 04 18:21:43 +0000 2014",31,"en"
"2834972589","Museinazionali Lucca","MuseiLucca","Villa Guinigi e Palazzo Mansi rappresentano, ciascuno con le proprie caratteristiche, due aspetti diversi e complementari della storia artistica lucchese.",688,677,23,"Fri Oct 17 12:21:54 +0000 2014",106,"it"
"2821851332","CSN Comune di Prato","CSN_Prato","Polo museale e parco ambientale del Comune di Prato. Centro di Educazione Ambientale e delle Scienze Naturali nel cuore dell' A.N.P.I.L del Monteferrato",192,157,5,"Sat Sep 20 12:58:02 +0000 2014",238,"it"
"2720456667","Musei Digitali","MuseiDigitali","Aggregazione spontanea dei Musei d'Italia. Sei un Museo? aderisci:http://t.co/nScrJp4zxj. Cerchi un museo vicino? http://t.co/36SngpyXUv",1024,287,32,"Tue Jul 22 06:17:07 +0000 2014",351,"it"
"2679066895","Musei Rimini","museirimini","Museo della Città
Domus del Chirurgo
Museo degli Sguardi
FAR Fabbrica Arte Rimini
Galleria dell'Immagine
http://t.co/YxRXBQswut
musei@comune.rimini.it",513,471,15,"Fri Jul 25 08:17:05 +0000 2014",123,"it"
"2654946541","Museo di Atina","museo_atina","Museo Archeologico di Atina e della Valle di Comino G. Visocchi - via Vittorio Emanuele II, Atina (FR), Italy",402,568,26,"Thu Jul 17 21:14:01 +0000 2014",75,"it"
"2492712450","Musei Civici ReggioE","MuseiCiviciRE","I Musei Civici di Reggio Emilia perseguono il fine di documentare natura, archeologia, arte e storia dell’intero territorio provinciale.",501,233,35,"Tue May 13 09:55:42 +0000 2014",822,"it"
"2448485306","MuseoVillaSulcis","VillaSulcis","",95,16,11,"Thu Apr 17 01:57:44 +0000 2014",23,"it"
"2444023736","Museo del Bottone","MuseoDelBottone","",844,201,35,"Mon Apr 14 14:55:10 +0000 2014",319,"it"
"2427699216","MuseoCasadelnespolo","casadelnespolo","",434,270,14,"Fri Apr 04 18:45:53 +0000 2014",172,"it"
"2412570331","MuseoPalazzoRealeNap","MuseoPRealeNa","Il Museo del Palazzo Reale ha testimonianze dal 1600  fino ai Savoia. Nella Sala Dai accoglienza a tutti i visitatori con percorsi tattili",1600,1245,47,"Wed Mar 26 12:52:22 +0000 2014",133,"it"
"2408591659","Casa Museo Caripa","CasaCaripa","The House Museum illustrates the history of the local, personal and social change using a language that is understandable to all, the language of #life.",1048,994,36,"Mon Mar 24 08:05:14 +0000 2014",345,"it"
"2407505017","Palazzo Mazzetti","PalazzoMazzetti","Palazzo Mazzetti - Asti
Museo e Pinacoteca Civica",1300,923,60,"Sun Mar 23 17:59:50 +0000 2014",3245,"it"
"2398078934","Must Lecce","MustLecce","Benvenuti sull'account  ufficiale del MUST: MUseo STorico della Città di #Lecce. Welcome to the official Twitter page of  historical museum of the city of Lecce",1539,579,75,"Wed Mar 19 15:51:04 +0000 2014",1576,"it"
"2394562358","Palazzo Civico Arti","MuseoAgropoli","Account gestito da Cooperativa Muse -  http://t.co/x68tAou1wr…",3035,2066,91,"Mon Mar 17 14:56:17 +0000 2014",4216,"it"
"2394078056","Museo dei Bozzetti","Museo_Bozzetti","Museo dei Bozzetti Pierluigi Gherardi",1123,226,46,"Mon Mar 17 09:20:24 +0000 2014",353,"it"
"2355059149","MuseoSalinas_Palermo","MuseoSalinas","Opere d'arte, capolavori della cultura #fenicio, #punica, #greca, #etrusca e #romana. 
#lestoriedituttinoi dalla #preistoria al #medioevo.",2549,861,97,"Fri Feb 21 16:38:34 +0000 2014",1053,"it"
