"id","name","screen_name","description","followers_count","friends_count","listed_count","created_at","statuses_count","lang"
"2373624002","RegioneLazio","RegioneLazio","Notizie, informazioni e opportunità. Rispondiamo alle vostre domande dal lunedì al venerdì dalle 9 alle 19. Per info http://t.co/4QwKrJxisg",5638,2431,106,"Wed Mar 05 11:46:25 +0000 2014",2270,"it"
"2325214800","Regione Molise","Regione_Molise","Pagina Ufficiale della Regione Molise a cura della Direzione Comunicazione Istituzionale",632,144,28,"Mon Feb 03 10:09:44 +0000 2014",83,"it"
"1095090072","Regione Marche","RegioneMarcheIT","Account ufficiale della Regione Marche - Giunta regionale",9004,971,126,"Wed Jan 16 12:44:03 +0000 2013",3920,"it"
"563559860","Regione Toscana","RTConsiglio","Consiglio Regione Toscana. Assemblea legislativa regionale: politica, leggi, comunicati, mostre, convegni e altre iniziative. 800 401291",4433,24,68,"Thu Apr 26 08:44:52 +0000 2012",582,"it"
"545968677","Regione Abruzzo","Regione_Abruzzo","Ufficio stampa, fonte ufficiale della Giunta regionale d'Abruzzo. News, video, produzioni multimediali, editoria elettronica.",8398,482,93,"Thu Apr 05 11:09:14 +0000 2012",3268,"it"
"397203090","Regione Campania","Reg_Campania","Account ufficiale della Regione #Campania",10087,532,95,"Mon Oct 24 11:28:49 +0000 2011",995,"it"
"373815570","Marche Turismo","MarcheTourism","Benvenuti! Questo è l'account twitter ufficiale di MarcheTourism. Seguici e scegli #destinazionemarche per la tua prossima vacanza!",71035,17323,610,"Thu Sep 15 06:56:56 +0000 2011",23570,"it"
"334658624","Cr Piemonte","crpiemonte","Il canale twitter ufficiale del Consiglio regionale del #Piemonte. I video su http://t.co/SobncHW9sZ.
RT e menzioni non significano condivisione",10009,3171,181,"Wed Jul 13 13:21:04 +0000 2011",51302,"it"
"325476794","TurismoFVG","FVGlive","Welcome to the official Twitter page of Friuli Venezia Giulia Tourism Board, TurismoFVG! Tweets to discover amazing locations, tastes and a way of life!",11318,1270,221,"Tue Jun 28 10:55:53 +0000 2011",13153,"it"
"242695991","Giornale Giunta","GiornaleGiunta","Giornale della Giunta della Regione Liguria",1825,180,40,"Tue Jan 25 11:24:06 +0000 2011",5705,"it"
"97082347","Visit Veneto","TurismoVeneto","Profilo ufficiale della Regione Veneto per il turismo. Veneto, tra la terra e il cielo.",13282,474,295,"Tue Dec 15 23:05:42 +0000 2009",9862,"it"
"90641656","regione piemonte","regionepiemonte","La Regione Piemonte su Twitter. Informazioni utili per i cittadini scelte dall'URP (Ufficio Relazioni con il Pubblico). Ci trovi anche su http://t.co/zTJAZVUJGD",41145,894,425,"Tue Nov 17 14:37:17 +0000 2009",3681,"it"
"72502915","RegionePuglia","RegionePuglia","a cura del Servizio Comunicazione Istituzionale, Regione Puglia",33664,2044,264,"Tue Sep 08 08:06:49 +0000 2009",17843,"it"
"60608418","RegioneEmiliaRomagna","RegioneER","Il twitter feed ufficiale delle notizie della Regione Emilia-Romagna",37908,125,444,"Mon Jul 27 14:16:03 +0000 2009",6372,"it"
"56674519","Regione Lombardia","LombardiaOnLine","Profilo ufficiale di Regione Lombardia. News dell'agenzia di stampa Lombardia Notizie #LNews. Comunicazione istituzionale a cura della Direzione Comunicazione",40863,255,551,"Tue Jul 14 11:57:29 +0000 2009",25887,"it"
"46853388","Valle d'Aosta - info","valleaosta","",690,0,32,"Sat Jun 13 08:27:19 +0000 2009",102,"en"
"42875646","TurismoEmiliaRomagna","turismoER","Account Ufficiale dell' Azienda Promozione Turistica dell'Emilia Romagna.",37692,3365,602,"Wed May 27 12:58:42 +0000 2009",50363,"it"
"34884291","Visit Tuscany","VisitTuscany","The OFFICIAL tweets of traveling, living and loving #Tuscany (#Italy)! #instatuscany #IlikeItaly",19934,2684,568,"Fri Apr 24 08:54:14 +0000 2009",8310,"en"
"16109886","intoscana.it","intoscana","Il Portale ufficiale della Toscana",27205,2893,419,"Wed Sep 03 08:02:39 +0000 2008",15636,"it"
"14292901","Regione Del Veneto","RegioneVeneto","Ente Pubblico Territoriale",19736,53,311,"Thu Apr 03 12:58:12 +0000 2008",2320,"en"
